Time	Start	Mid	End	Avg	Name	Word	Vowel	f1	f2	f3
0.005	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav		<p:>	--undefined--	--undefined--	--undefined--
1.8849895833333299:1.92998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	o t	t	719.7040377023699	1743.7998525685941	3173.371620702828
1.93498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	t	703.5282261774786	1688.10968274438	3068.1179068182323
1.95748958333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	t	786.2793686004131	1695.112899932798	3016.3519186967364
1.97998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	t	872.7002081997571	1834.6337772392983	3136.447390617136
1.93498958333333:1.97998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	t	773.3512781987315	1716.151292551343	3036.4569892834297
1.98498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	a	873.9222070054417	1835.2340988192543	3131.7272236015215
2.02248958333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	a	723.1898002408058	1805.285042503769	2128.3001897270174
2.05998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	a	643.780315070239	1878.4891262698063	1954.2848280152944
1.98498958333333:2.05998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	a	760.8793674671396	1837.640927537636	2461.335505080967
2.06498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	j	629.6155548901509	1830.317813697693	1926.7725971630227
2.07748958333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	j	600.3621747438422	1276.3373725345518	1828.827404648194
2.08998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	j	603.6948418565272	1319.8990761729465	2641.8430245030136
2.06498958333333:2.08998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	j	610.915039273954	1434.2523772026984	1875.4547286538702
2.09498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	l	610.3320710641458	1698.7115778485784	3115.5201076012545
2.1074895833333303	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	l	611.4361911963178	1626.7233866534718	2614.816523049936
2.11998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	l	590.844582469752	1418.3031348822694	1793.3929628279357
2.09498958333333:2.11998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	l	609.6710159398033	1645.377646021135	2711.5046839002944
2.12498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	a	592.2678043589509	1349.5883406552712	1953.218333193637
